"release_clause_eur_m","overall","potential","wage_eur_m","movement_reactions","skill_ball_control","age","value_eur_m"
4.4,72,75,0.288,69,72,26,2.8
2,67,67,0.336,65,68,28,1
0.919,68,68,0.288,71,68,35,0.525
2.5,69,70,0.144,68,62,27,1.5
0.875,63,63,0.096,60,63,27,0.5
2.9,66,74,0.096,64,68,23,1.9
1.9,67,70,0.24,62,70,25,1.2
1.7,71,71,0.672,75,71,31,1.3
4.2,68,74,0.024,51,56,23,1.8
0.372,68,68,0.048,67,73,37,0.24
0.175,50,60,0.024,47,37,19,0.1
6.6,73,76,0.96,75,58,27,3.5
1.8,67,67,0.24,66,67,30,1
3.1,67,74,0.192,62,55,23,1.9
2.9,70,73,0.48,64,71,25,1.9
2.7,68,71,0.144,62,65,26,1.5
3.2,72,72,0.336,72,73,32,1.8
4.1,68,76,0.192,59,64,23,2.5
2,68,69,0.288,65,60,27,1.3
3.6,69,75,0.336,62,69,24,2.2
0.186,51,58,0.024,52,49,21,0.12
1.1,60,68,0.048,60,61,22,0.55
3.1,71,71,0.384,65,75,27,2
1,64,64,0.432,59,61,28,0.6
1.1,68,68,0.24,65,67,31,0.875
2.1,74,74,0.528,75,81,38,1.4
1.7,61,74,0.096,58,71,20,0.775
4.2,74,74,1.44,76,69,33,2.2
0.761,60,68,0.0336,54,58,22,0.525
1.6,60,79,0.24,56,63,19,0.625
0.653,63,63,0.096,60,66,30,0.45
0.613,67,67,0.096,66,70,36,0.35
43.1,77,84,1.776,75,76,22,20.5
5.6,76,76,1.152,78,78,35,3.1
32.6,78,81,3.312,73,62,26,16.5
2,66,67,0.24,64,67,26,1
0.699,62,62,0.024,53,62,30,0.325
3.1,66,75,0.24,57,70,21,1.8
1,64,67,0.048,60,57,26,0.775
2,66,72,0.144,62,59,23,1.2
1.4,69,69,0.288,65,46,32,0.9
4,72,72,0.96,66,70,28,2.1
0.634,56,65,0.048,52,51,23,0.325
6.6,73,76,1.728,69,70,26,3.5
4.2,71,71,0.048,72,69,28,1.9
2.9,69,69,0.024,60,61,28,1.3
4.8,72,72,1.2,68,69,27,2.5
30.4,76,86,1.248,73,78,21,16
1.1,56,79,0.0336,56,50,18,0.425
4.2,72,73,0.144,73,73,26,2.5
0.95,71,71,0.576,70,63,35,0.5
0.155,50,58,0.024,49,33,23,0.1
2.4,65,70,0.024,64,66,22,1.1
0.867,61,65,0.096,57,60,22,0.475
4.6,68,76,0.384,60,71,22,2.7
1,58,69,0.144,58,60,21,0.45
2.3,71,71,0.528,73,67,32,1.5
6,70,76,0.0264,69,70,23,2.5
10.4,74,75,1.872,65,76,26,5
1.4,66,66,0.192,63,66,30,0.825
0.606,62,63,0.096,58,60,27,0.425
0.707,56,71,0.096,42,60,18,0.325
2.4,66,70,0.024,62,59,23,1.1
2.6,70,71,0.576,69,66,28,1.5
1.9,70,70,0.336,66,71,30,1.5
20.7,74,82,0.768,66,71,22,9
3.5,64,80,0.144,53,54,19,1.5
0.831,63,63,0.096,64,61,30,0.475
1.7,65,69,0.096,59,60,24,0.925
0.906,65,65,0.096,66,65,28,0.725
4.6,69,75,0.192,66,55,23,2
6.7,69,82,0.048,66,70,19,3.3
0.656,64,64,0.24,67,61,33,0.375
4.8,69,79,0.144,70,58,19,2.8
3.6,72,72,0.336,70,66,28,2.4
22.8,75,83,1.2,70,65,21,12
2.2,69,70,0.24,67,63,28,1.3
1,59,67,0.096,52,34,20,0.475
0.456,58,60,0.096,54,55,26,0.25
1.8,66,71,0.144,62,70,25,1.1
4.5,71,72,0.48,72,72,26,2.2
2,61,80,0.288,55,67,18,0.825
1.1,66,66,0.192,54,52,29,0.725
6.2,69,76,0.48,65,70,23,2.7
14.8,76,77,1.632,77,69,27,7.5
1.1,64,69,0.048,61,64,25,0.8
1,64,64,0.096,59,64,28,0.575
6.3,73,73,1.488,78,67,27,3.3
0.385,54,64,0.024,53,50,19,0.22
4.5,65,84,0.576,61,72,19,1.8
1.7,61,70,0.024,62,66,23,0.725
1.1,60,72,0.144,50,62,22,0.6
0.31,60,60,0.096,64,61,31,0.2
0.39,59,60,0.096,51,51,27,0.24
0.781,65,65,0.048,64,63,30,0.625
21.3,81,81,4.56,83,85,34,12.5
3.2,72,72,0.624,72,74,28,2.4
1.6,66,66,0.24,64,72,30,0.825
38,80,80,2.256,80,81,30,20
28.5,76,83,2.4,76,78,23,15
2.2,66,69,0.096,67,65,24,1.2
1.9,62,69,0.024,50,55,21,0.8
29.8,80,80,2.784,83,84,31,17.5
1.1,59,77,0.048,52,38,19,0.55
1.3,64,68,0.096,66,55,25,0.725
1.8,64,71,0.048,63,58,22,1.1
7.7,75,75,0.576,71,78,29,5.5
0.915,63,67,0.096,58,49,25,0.6
17.1,77,77,1.2,77,78,29,9.5
2,64,71,0.144,54,62,23,1.2
0.211,53,57,0.048,50,53,23,0.13
1.7,70,70,0.24,52,64,31,1.1
1.3,70,70,0.24,65,58,32,1
0.653,58,68,0.0288,57,63,22,0.45
2,67,68,0.096,66,66,27,1.2
4.7,68,78,0.192,62,69,22,2.6
0.439,63,63,0.048,60,50,31,0.325
1.3,62,71,0.024,54,46,24,0.825
2.8,64,77,0.0264,62,51,20,1.3
1.6,68,68,0.288,65,59,29,1
4.2,71,74,0.864,72,75,25,2.5
5.8,73,73,0.96,72,74,27,3.2
1.8,69,69,0.384,61,70,33,0.875
2.3,68,68,0.192,58,61,29,1.1
71.4,84,84,7.2,84,85,28,42
1.2,65,65,0.192,63,63,26,0.775
1.4,66,66,0.192,67,63,27,0.9
1.6,69,69,0.432,65,64,31,1
4.4,72,75,0.624,67,74,25,3.1
3.7,65,74,0.096,55,71,22,1.6
2.1,66,72,0.0456,62,63,24,1.2
2.3,69,69,0.336,69,68,27,1.5
2.4,69,69,0.024,67,58,30,1.1
1.2,60,72,0.144,45,69,20,0.6
29.5,79,79,1.872,81,83,28,15.5
1.6,70,70,0.24,65,72,31,1.3
0.725,65,65,0.144,62,65,32,0.5
4,72,72,0.576,64,69,31,1.9
7.3,70,80,0.432,65,65,20,3.3
0.39,57,61,0.024,56,50,23,0.24
2.4,69,69,0.0336,68,70,32,1.1
0.625,63,63,0.0456,66,64,27,0.5
0.629,61,66,0.096,62,63,25,0.475
5,70,76,0.576,63,70,23,2.5
1.1,64,67,0.096,59,64,25,0.725
2,69,69,0.024,68,70,31,0.95
104.4,84,85,2.592,86,85,27,48
16.8,77,77,0.624,78,79,30,10.5
0.86,57,69,0.096,41,58,19,0.4
0.228,54,56,0.024,52,56,24,0.14
2.1,62,73,0.048,58,64,22,0.9
2.9,65,75,0.096,60,52,21,1.5
0.613,62,62,0.048,58,62,28,0.35
9.7,71,81,0.576,64,78,21,4.2
0.829,63,63,0.144,60,58,28,0.425
1.3,65,65,0.024,62,56,29,0.625
1.2,61,68,0.048,58,62,23,0.625
1.6,67,67,0.336,66,70,31,0.825
1.3,64,69,0.144,62,61,25,0.85
0.62,63,63,0.144,64,59,29,0.4
0.344,64,64,0.096,62,65,34,0.275
0.502,58,61,0.048,61,58,25,0.275
9,76,76,0.432,77,64,30,6
2.5,63,79,0.048,60,67,20,1.3
6.7,69,77,0.288,63,68,24,2.9
0.867,63,64,0.192,59,54,27,0.475
0.849,56,73,0.024,48,42,18,0.35
40.9,77,84,1.728,77,80,22,21.5
5.4,72,76,0.432,70,76,25,3.2
4.6,67,77,0.144,66,63,21,2.1
1.7,59,81,0.036,55,67,17,0.7
2.3,70,70,0.384,62,67,31,1.2
30.2,78,81,2.112,78,78,25,17
4.9,69,76,0.432,67,67,21,2.9
2.6,62,75,0.048,60,64,20,0.95
0.875,66,66,0.144,62,55,30,0.7
0.689,64,64,0.096,60,67,32,0.475
0.788,58,69,0.024,53,62,19,0.45
0.171,55,55,0.144,50,34,30,0.11
2.8,71,71,0.288,70,71,29,1.6
0.25,67,67,0.096,65,69,36,0.2
3,71,71,0.432,66,69,29,1.9
13,74,80,0.912,68,77,24,6.5
3.2,68,71,0.288,58,69,24,1.6
2.6,68,73,0.144,65,65,24,1.7
1.1,67,67,0.096,76,58,31,0.85
75.9,85,85,9.6,88,85,31,37
20.7,76,81,1.392,76,70,23,10.5
6,69,76,0.024,66,68,25,2.5
0.926,58,70,0.048,54,49,19,0.475
2.4,69,69,0.336,66,68,28,1.2
6.5,73,77,0.192,69,68,25,3.9
3.8,73,73,0.432,67,74,32,2.4
0.276,62,62,0.096,45,49,33,0.19
0.731,61,66,0.024,54,60,24,0.45
0.14,49,55,0.096,52,56,22,0.08
3.6,71,73,0.288,66,66,28,1.9
6.3,77,77,2.496,83,79,37,3.3
1.1,65,65,0.192,65,67,30,0.7
0.81,64,64,0.096,58,65,28,0.6
2.1,66,72,0.096,59,62,23,1.3
2.1,65,69,0.024,66,65,24,0.95
9.5,75,75,0.672,74,59,27,5
2.5,69,69,0.576,71,69,29,1.4
1.3,57,77,0.336,54,60,19,0.45
0.866,60,70,0.0456,57,61,21,0.525
3,71,71,1.056,73,71,31,1.6
0.52,70,70,0.192,67,61,36,0.325
0.581,57,66,0.048,52,61,23,0.375
2,63,70,0.192,56,66,22,0.925
23.1,77,79,2.256,75,81,26,13
0.853,60,71,0.096,53,60,20,0.55
14.3,76,76,0.672,67,62,23,7.5
1.8,64,67,0.024,61,67,22,0.8
1.1,64,66,0.096,67,66,26,0.725
3.3,69,69,0.0312,55,70,27,1.5
3,73,73,0.336,74,74,32,2
0.516,54,72,0.0384,50,56,18,0.275
1.4,66,68,0.096,62,64,25,0.975
1.2,60,74,0.096,67,60,19,0.575
1,67,67,0.144,65,62,32,0.675
2.5,59,85,0.024,55,63,16,0.9
1.2,60,74,0.096,51,61,20,0.6
0.675,64,64,0.096,63,49,28,0.5
2.2,68,69,0.144,67,68,28,1.2
6.1,69,78,0.72,61,62,23,2.9
0.397,58,61,0.192,55,49,27,0.23
0.333,65,65,0.096,62,61,35,0.19
2.5,69,70,0.384,67,53,28,1.3
1.1,63,66,0.192,62,62,25,0.625
1.9,70,70,0.816,67,56,32,1
7.6,70,80,0.816,63,70,21,3.6
0.281,51,68,0.024,47,55,19,0.15
1.4,70,70,0.24,68,62,32,1.1
4,75,75,1.584,74,73,34,2.1
31.9,78,78,1.248,75,81,28,14.5
4.8,66,80,0.096,58,47,21,2
0.625,63,63,0.048,58,62,28,0.5
0.831,63,63,0.048,50,62,29,0.475
5,70,75,0.0264,61,70,25,2.2
95.3,85,86,8.64,86,84,29,49.5
3.8,77,77,1.104,71,82,39,2.1
2,66,71,0.096,65,63,25,1.2
0.569,63,63,0.096,57,56,32,0.325
0.464,61,63,0.048,53,53,27,0.35
5.7,66,79,0.288,52,67,21,2.1
0.881,57,65,0.024,58,60,21,0.375
1.1,61,71,0.024,56,56,19,0.675
0.806,66,66,0.024,63,65,35,0.375
4.1,68,74,0.288,68,69,23,1.9
1.7,70,70,0.0336,55,59,33,0.75
0.325,58,59,0.096,52,53,28,0.2
84.9,84,85,5.28,85,80,27,43
1.8,63,72,0.144,60,68,22,1.1
8.5,75,75,0.816,74,80,31,4.7
1.5,65,69,0.048,64,64,24,1
0.641,69,69,0.192,64,74,36,0.475
6.8,70,77,0.912,66,64,22,3.1
2,67,70,0.288,61,70,26,1.3
25.2,78,78,1.392,79,83,28,14
0.72,64,64,0.096,58,65,32,0.45
1,58,72,0.096,54,58,20,0.5
14.7,76,76,1.008,74,78,27,7
3.1,65,74,0.096,56,62,22,1.6
1.2,64,66,0.096,62,62,26,0.65
23.4,78,78,1.776,74,69,27,13
0.906,64,64,0.096,66,62,27,0.625
2.1,65,68,0.024,48,65,25,0.95
2.7,68,74,0.24,60,70,24,1.8
24.4,78,79,0.528,75,80,27,16
1.9,69,69,0.288,65,65,31,1
5.4,73,73,1.008,69,74,29,3
2.9,71,71,0.384,61,70,29,1.8
3.1,64,72,0.024,62,63,22,1.3
1.2,67,67,0.192,59,72,30,0.975
7.6,77,77,1.056,74,72,36,3.6
1.8,65,66,0.144,55,69,27,0.825
3.6,73,73,0.384,72,75,31,2.5
31.5,76,83,2.016,68,80,22,15
1.1,67,67,0.096,57,65,32,0.8
0.163,63,63,0.048,54,54,35,0.13
4.4,68,79,0.24,62,64,22,2.6
1.3,63,69,0.096,50,62,22,0.775
0.543,54,71,0.024,54,56,17,0.275
2.3,67,70,0.288,65,60,25,1.2
0.31,60,60,0.096,57,57,30,0.2
0.563,62,64,0.096,59,57,26,0.425
3.1,67,73,0.24,64,68,23,1.6
0.801,63,65,0.048,57,58,26,0.525
3.5,67,75,0.144,63,47,22,2.1
1.8,67,68,0.192,57,65,26,1.2
0.784,59,68,0.048,56,58,23,0.475
0.893,58,65,0.096,44,58,21,0.425
0.516,54,72,0.024,49,48,17,0.275
3.8,71,71,1.296,71,72,27,2
6.7,74,74,1.392,75,73,29,4.2
3.8,73,73,0.672,73,73,32,2.5
2.3,62,76,0.0432,60,63,18,0.875
0.302,51,65,0.144,48,43,20,0.13
2.2,65,72,0.048,56,66,22,1.5
0.563,62,64,0.0432,58,52,27,0.425
2.1,64,71,0.144,59,64,22,1.1
2.1,64,74,0.096,60,55,23,1.2
2.7,70,70,0.24,70,71,31,1.3
1.2,65,68,0.096,62,61,26,0.85
0.534,62,63,0.048,60,59,28,0.375
1.2,61,70,0.048,54,60,21,0.7
0.666,61,64,0.24,56,58,26,0.375
1,66,66,0.096,62,51,31,0.575
24.2,75,85,0.96,69,71,19,11.5
7.9,71,78,1.056,66,70,23,3.6
3.3,69,72,0.192,62,69,25,1.8
5.9,73,75,0.384,69,70,25,3.5
2.1,68,68,0.288,66,71,28,1.2
5,71,74,0.0312,59,60,26,2.2
1.1,63,69,0.096,64,63,23,0.75
1.8,64,71,0.048,62,61,21,1.1
1.1,57,73,0.144,57,59,19,0.425
2.3,68,71,0.288,64,69,24,1.6
1.2,64,69,0.096,66,54,24,0.8
0.62,64,64,0.096,57,66,32,0.4
0.385,54,61,0.096,53,55,21,0.22
10.8,72,79,0.336,74,72,24,4.7
0.878,61,67,0.0384,57,42,20,0.45
51.9,82,82,3.504,81,86,28,30.5
0.701,58,66,0.0456,53,50,20,0.425
1.8,63,73,0.048,59,62,21,1.1
127.1,82,89,5.28,79,86,20,56.5
3.5,68,72,0.24,71,67,23,1.7
5.1,73,73,0.432,69,75,27,3.2
35.2,79,79,2.64,77,82,27,18.5
2.4,64,71,0.192,63,65,21,1.2
0.371,52,64,0.0288,49,46,18,0.19
109.7,86,86,10.56,86,91,32,53.5
1.1,66,66,0.0312,54,66,29,0.75
0.563,53,73,0.036,54,58,18,0.25
0.696,63,65,0.048,62,63,26,0.525
1.2,59,76,0.0408,54,62,19,0.575
2.7,71,71,0.768,69,71,28,1.7
0.14,60,60,0.048,63,49,34,0.08
5.8,75,75,0.768,69,74,33,2.9
1,57,75,0.0264,40,60,18,0.425
3,69,69,0.0264,59,66,30,1.4
65.2,82,84,2.544,84,80,27,33
0.508,57,66,0.0264,52,50,24,0.35
0.217,47,61,0.024,39,35,21,0.11
30.6,78,79,2.304,76,74,25,15.5
1.1,61,70,0.0312,64,55,21,0.75
0.5,63,63,0.048,56,49,29,0.4
6.6,71,76,0.0312,69,74,21,2.9
2.9,71,71,0.72,75,69,28,1.9
2.6,66,73,0.192,63,70,21,1.8
0.2,54,59,0.024,45,45,26,0.14
1.4,66,66,0.144,62,72,27,0.9
0.625,65,65,0.096,64,58,31,0.5
2.1,67,71,0.096,65,64,25,1.3
3.4,65,73,0.288,56,67,22,1.6
6.3,69,80,0.528,58,66,22,3
2.9,71,71,0.864,72,68,28,1.9
20.7,74,82,0.816,69,71,22,9
3.7,71,76,0.48,69,73,25,2.7
2.3,66,73,0.048,62,70,23,1.6
0.666,71,71,0.24,67,70,36,0.325
9.4,74,76,1.056,76,76,26,5
1.6,73,73,0.384,75,73,36,1
0.544,57,69,0.0312,55,40,22,0.375
1.7,67,70,0.144,65,69,25,1.3
3,75,75,0.72,67,64,35,1.5
9.8,73,77,0.048,71,74,25,4.3
0.819,63,64,0.096,58,66,26,0.575
2.1,70,70,0.816,68,71,31,1.3
2.6,66,71,0.144,63,66,23,1.2
4.6,67,78,0.432,59,58,22,2.2
1.3,60,72,0.024,62,58,20,0.55
0.645,63,63,0.024,50,48,32,0.3
1.4,59,72,0.096,55,58,20,0.525
49.4,80,81,4.224,77,84,26,25
0.569,61,61,0.096,59,55,28,0.325
11.6,78,78,2.88,78,80,34,7
1.1,62,68,0.096,57,49,23,0.575
0.653,58,68,0.0288,50,58,21,0.45
1.8,63,71,0.096,52,69,21,1.1
1.4,64,68,0.144,57,62,23,0.775
0.729,63,64,0.096,60,63,27,0.55
5.2,69,77,0.384,69,65,23,2.9
0.413,53,66,0.036,43,45,21,0.22
6.3,76,76,1.2,78,68,33,3.7
1.3,69,69,0.096,61,70,31,1
5.5,72,77,0.576,69,70,24,3.2
0.689,67,67,0.192,64,67,34,0.475
1.2,67,67,0.288,64,68,32,0.825
2.7,62,83,0.024,58,60,17,1.2
1.4,62,72,0.048,62,69,20,0.875
1.5,67,67,0.024,64,61,31,0.7
1.1,60,72,0.24,51,60,22,0.6
0.26,55,57,0.024,49,53,25,0.16
0.831,63,63,0.096,63,64,29,0.475
1.2,69,69,0.24,63,66,33,0.725
0.829,58,65,0.096,56,58,21,0.425
8.6,71,78,0.48,64,73,23,3.6
2.1,70,70,0.432,64,70,29,1.4
1.1,66,66,0.0384,57,65,29,0.85
0.906,65,65,0.144,60,65,28,0.725
1.2,65,67,0.144,65,66,26,0.775
1.2,60,75,0.036,54,62,19,0.575
13.5,74,79,0.624,74,71,25,6.5
1.9,63,70,0.144,55,66,25,0.875
3.6,71,71,0.912,70,75,28,1.9
1.4,64,67,0.24,57,60,25,0.775
4.6,67,74,0.288,62,68,21,2.1
207.1,86,92,4.56,84,88,22,109
3,69,72,0.336,60,71,25,1.9
1.1,67,67,0.192,63,65,31,0.725
4.1,68,75,0.144,68,70,23,2.4
0.31,55,58,0.096,53,52,25,0.17
1.3,64,69,0.096,65,62,25,0.875
2.3,63,75,0.096,59,61,18,1.1
5.9,74,74,1.344,67,75,31,3.1
27.2,77,78,1.056,71,76,26,12.5
2.1,69,69,0.24,69,75,29,1.4
1.7,60,80,0.024,57,63,17,0.675
1.8,64,70,0.144,63,63,23,0.925
5.5,73,73,0.816,71,64,27,2.9
3.8,70,75,0.192,66,66,25,2.1
0.743,58,67,0.0456,53,60,21,0.45
3.6,69,70,0.0336,54,71,26,1.6
2.1,68,71,0.048,64,72,25,1.6
2.5,71,71,0.288,66,73,33,1.2
0.61,62,63,0.144,63,59,27,0.4
3.2,67,72,0.024,67,54,21,1.4
0.906,65,65,0.048,64,54,28,0.625
4.7,67,76,1.056,69,60,20,2.1
1.6,65,70,0.096,58,66,23,1.1
2.7,69,69,0.48,60,66,28,1.4
0.438,60,60,0.096,58,59,27,0.25
9.9,72,79,1.104,72,70,23,4.7
1.2,64,68,0.096,56,62,24,0.775
1.1,66,66,0.192,57,68,28,0.85
3.3,70,73,0.528,68,71,25,1.9
2.4,70,70,0.0288,64,70,32,1.1
1.9,67,71,0.144,60,56,26,1.3
1.7,63,72,0.096,58,63,22,1
1.8,66,70,0.144,65,66,23,1.2
0.828,64,66,0.096,57,64,27,0.625
0.684,60,65,0.096,56,58,22,0.375
2.5,69,69,0.336,69,70,28,1.4
2.1,62,78,0.096,58,62,19,1
1.3,65,68,0.144,60,62,25,0.875
5.2,69,77,0.096,68,63,22,2.9
0.569,63,63,0.096,57,62,32,0.325
2.2,70,70,0.144,64,75,28,1.4
1.3,63,69,0.096,60,62,23,0.75
14.2,76,77,0.576,71,78,27,8.5
1.7,68,70,0.144,66,62,25,1.3
6.8,73,78,0.576,70,73,24,4.6
3.8,71,73,0.864,68,62,27,2
23.1,75,82,1.584,73,72,23,10.5
0.735,59,65,0.192,52,59,20,0.35
170,86,89,10.08,85,72,25,80
31.4,79,79,1.296,78,77,27,16.5
0.744,64,64,0.096,57,59,31,0.425
0.47,53,62,0.024,43,44,21,0.2
0.808,59,66,0.192,52,53,23,0.425
1.7,63,74,0.096,57,62,22,1.1
1.4,67,67,0.336,67,53,28,0.875
88.1,82,85,1.776,78,83,25,40.5
0.2,65,65,0.048,54,63,36,0.16
3.5,71,71,0.0384,66,70,30,1.6
0.683,57,67,0.036,55,55,21,0.35
2.4,62,79,0.096,55,50,19,0.975
4.2,73,73,0.48,69,68,30,3
14.7,73,82,1.92,66,74,21,7
3.2,68,69,0.0264,64,76,27,1.4
2.6,70,71,0.72,69,72,26,1.9
1.3,65,67,0.096,61,53,28,0.725
2,62,78,0.0384,53,63,18,0.95
1.6,61,72,0.144,60,44,20,0.675
0.979,65,65,0.096,66,62,28,0.725
22.4,76,83,0.624,69,78,23,14
0.626,59,64,0.096,53,55,24,0.325
0.744,66,66,0.096,63,60,33,0.425
28.4,77,82,1.872,76,82,23,16
2.1,67,71,0.288,65,67,25,1.4
0.89,61,65,0.024,54,55,26,0.4
1.6,62,71,0.048,60,53,22,0.825
1.1,65,66,0.144,60,65,28,0.7
1.1,66,66,0.192,62,62,30,0.725
2.3,65,76,0.144,61,67,21,1.6
0.341,60,60,0.144,54,59,29,0.22
3.3,69,70,0.576,65,70,27,1.6
0.689,63,63,0.048,61,63,30,0.475
1.6,61,72,0.024,59,55,20,0.675
3.6,70,71,0.24,68,74,26,1.9
1.8,65,66,0.288,56,69,26,0.85
1.5,67,67,0.24,64,63,27,0.975
5,68,78,0.72,64,68,22,2.5
1.5,67,67,0.024,60,66,32,0.7
38.4,78,81,0.72,78,80,25,18.5
1.1,60,68,0.0456,58,61,21,0.55
1.3,59,77,0.024,55,58,19,0.575
4,65,78,0.288,66,56,20,1.6
0.295,62,62,0.096,54,55,33,0.19
2.5,69,72,0.336,62,56,26,1.6
1.5,62,69,0.096,59,53,23,0.75
65.1,78,88,1.488,80,78,20,31
2,64,73,0.144,57,64,22,1.3
6.6,73,76,0.576,66,72,24,4.2
4,72,72,0.816,68,69,28,2.4
2.8,68,73,0.192,62,67,24,1.7
0.969,64,64,0.048,60,69,27,0.625
6.8,75,75,0.432,72,77,31,4.7
2,66,71,0.048,60,63,24,1.2
4.3,66,84,0.048,60,62,18,2
1.2,66,66,0.432,65,69,30,0.725
0.609,55,72,0.0264,52,56,18,0.325
2.5,69,69,0.192,68,70,28,1.4
2.3,67,72,0.144,62,63,22,1.5
0.341,56,60,0.0264,50,57,23,0.21
2.2,62,74,0.024,58,60,19,0.95
0.816,57,70,0.024,53,53,21,0.375
75.1,82,86,4.272,83,68,25,38
5.2,76,76,0.816,73,75,34,2.6
1.8,63,71,0.192,62,68,23,1.1
0.171,48,60,0.024,32,50,20,0.11
85.9,82,86,6.24,78,86,23,43.5
5.3,68,76,0.144,68,70,23,2.7
0.932,62,67,0.192,58,56,25,0.525
48.5,81,81,6.24,82,80,29,25.5
15,74,80,1.104,74,73,24,6.5
2,68,68,0.24,64,65,32,0.975
2,70,70,0.24,66,67,27,1.5
10.9,74,78,1.104,71,64,22,5.5
1.4,68,68,0.288,58,74,31,1
2.9,68,73,0.288,65,67,25,1.8
10.1,74,79,1.2,73,65,24,6
0.653,58,67,0.0288,56,60,22,0.45
2.7,67,70,0.024,66,66,27,1.2
0.488,60,62,0.036,55,59,25,0.3
1.9,68,68,0.336,70,67,30,1.2
3.2,70,70,0.864,66,72,23,1.8
0.569,62,62,0.096,60,60,31,0.325
2.8,71,71,0.432,65,69,27,2
1.4,64,68,0.192,57,53,24,0.75
3.6,67,73,0.024,63,63,23,1.5
1.4,66,68,0.096,61,61,25,0.975
1.8,63,72,0.048,58,67,22,1.1
0.76,69,69,0.096,72,68,37,0.475
0.57,62,63,0.048,59,44,27,0.4
4.5,73,73,0.384,73,76,29,3
0.913,63,65,0.192,60,55,27,0.5
0.666,61,64,0.24,61,64,26,0.375
0.913,62,65,0.096,50,57,24,0.5
1.5,70,70,0.24,65,71,33,0.975
4.1,65,78,0.0384,62,71,18,1.7
0.517,54,65,0.024,53,51,19,0.22
0.435,52,69,0.024,50,51,18,0.2
26.4,79,79,2.448,78,81,29,15.5
2.3,68,70,0.288,58,62,25,1.4
1.6,59,77,0.024,58,58,18,0.575
1.3,65,65,0.288,65,64,28,0.725
1.1,61,70,0.0264,45,60,21,0.7
0.594,63,63,0.048,59,62,28,0.475
0.176,50,61,0.0336,44,39,18,0.09
2.1,66,69,0.144,54,58,24,1
0.193,49,59,0.096,53,46,21,0.11
5.9,76,76,2.352,77,80,35,3.1
5.4,69,78,0.096,63,67,23,3
18.1,74,84,1.92,69,78,21,9.5
3.3,66,73,0.096,62,67,23,1.7
2.8,66,76,0.096,64,61,22,1.8
0.828,63,66,0.048,59,64,25,0.625
0.195,50,59,0.0288,46,44,17,0.1
3.9,72,73,0.528,65,71,27,2.5
1.8,65,68,0.096,60,62,24,0.975
2.3,63,73,0.288,63,66,20,1.1
1.6,66,67,0.24,57,68,26,1
4.9,71,76,0.144,63,75,22,2.9
2.1,63,78,0.036,57,60,19,1.1
34.7,77,83,2.496,75,79,23,16.5
89.6,84,85,6.72,84,82,25,50.5
3.2,70,74,0.336,67,65,25,2
1.3,58,76,0.24,58,55,19,0.5
3.3,64,82,0.024,58,68,17,1.5
0.531,63,63,0.0432,59,60,29,0.425
0.7,62,62,0.048,63,53,26,0.4
68.9,84,84,3.552,83,83,27,40.5
0.506,62,62,0.0336,56,54,27,0.375
2.6,70,72,0.24,68,66,26,1.8
0.502,58,61,0.144,56,57,22,0.275
1.7,66,70,0.096,65,64,25,1.1
10.8,73,79,0.864,69,73,23,4.9
0.674,55,72,0.048,50,32,20,0.325
2.9,64,72,0.144,58,62,21,1.3
1.5,70,70,0.384,68,59,32,1
55.3,80,83,4.56,80,82,26,28
0.38,57,60,0.144,48,55,25,0.22
1.3,65,65,0.024,62,62,30,0.6
3.3,70,75,0.336,70,72,23,2.4
0.675,65,65,0.048,59,43,31,0.5
0.938,58,77,0.024,51,58,18,0.5
2.5,72,72,0.336,66,73,31,2
61.2,81,84,3.36,79,75,25,31
7.3,68,82,0.432,67,68,19,2.9
0.474,58,61,0.144,45,60,25,0.275
0.698,65,65,0.048,64,66,33,0.45
5.4,70,77,0.528,68,74,23,3.2
2.7,69,70,0.432,67,70,26,1.6
7.4,73,78,0.624,73,73,24,4.7
1.4,62,70,0.048,58,58,23,0.85
1.3,65,70,0.096,60,65,24,1
1.6,65,68,0.144,58,52,25,0.85
0.831,63,63,0.144,59,62,29,0.475
1.4,65,67,0.24,62,49,26,0.775
2.1,67,72,0.24,60,63,25,1.4
2.8,65,73,0.048,63,63,23,1.6
3,71,74,0.24,60,65,24,2.3
0.85,57,70,0.048,58,60,20,0.4
2.1,66,72,0.096,58,62,24,1.3
0.875,67,67,0.096,63,66,31,0.7
0.906,61,68,0.036,56,55,23,0.625
2.4,66,70,0.432,62,69,23,1.2
112.6,84,87,5.28,83,85,24,58.5
21,77,77,1.44,76,77,30,10
1.1,64,67,0.048,60,54,26,0.7
1.8,67,68,0.144,67,60,26,1.2
0.424,53,72,0.024,45,49,18,0.22
1.4,71,71,0.432,69,63,33,0.9
3.8,74,74,0.384,72,75,33,2.6
2.8,69,73,0.096,65,67,26,1.7
0.392,58,63,0.024,50,44,24,0.275
0.629,62,63,0.0432,58,62,27,0.475
0.525,64,64,0.144,60,60,33,0.3
2.4,67,73,0.432,50,70,24,1.6
1.1,64,65,0.24,58,59,26,0.7
1.9,67,70,0.144,68,67,26,1.3
2.7,67,73,0.048,60,65,23,1.5
0.853,60,68,0.096,45,57,23,0.55
2.8,74,74,0.768,75,74,34,1.4
9.2,71,80,0.384,68,76,22,4
1.5,65,69,0.144,52,65,22,1
39.5,78,83,3.504,78,74,24,20
5.6,76,76,0.576,76,75,34,3.5
